Clusters populated to vertex count of: 76268
Clusters: [0=[20000000, 25330], 1=[20000000, 25574], 2=[20000000, 25364]]
Running test queries
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268, Max degree: 1251, Avg. degree: 23,28
Successfully added the log graph schema
Loading the log to graph
Edges added: 1256422
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Edges overall: 2403874
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Staring Vaquero partitioning - cF=0,990, iF=1,000, nClusters=3, aProb=0,50
Clusters INIT Lower Bound: [0=-92, 1=151, 2=-58]
Cooling factor: 0,990
It.		Temp		tRatio		Impr.		pSwitch		Good		Cross		Sum		sCount		Time
181		0,328		0,16		0,662		0,58		1188522		345754		1534276		49918		18,28s
182		0,324		0,16		0,662		0,58		1188570		345706		1534276		49918		24,05s
183		0,321		0,16		0,663		0,58		1188869		345407		1534276		49920		18,32s
184		0,318		0,16		0,663		0,58		1189357		344919		1534276		49927		22,02s
185		0,315		0,16		0,663		0,58		1189502		344774		1534276		49927		19,28s
186		0,312		0,16		0,663		0,58		1189719		344557		1534276		49926		21,39s
187		0,308		0,15		0,664		0,58		1190048		344228		1534276		49924		18,84s
188		0,305		0,15		0,664		0,58		1190097		344179		1534276		49928		23,39s
189		0,302		0,15		0,664		0,58		1190160		344116		1534276		49928		18,43s
190		0,299		0,15		0,664		0,57		1190654		343622		1534276		49924		24,16s
191		0,296		0,15		0,664		0,57		1190813		343463		1534276		49924		18,35s
192		0,293		0,15		0,664		0,57		1190813		343463		1534276		49926		23,58s
193		0,290		0,15		0,664		0,57		1190811		343465		1534276		49924		17,93s
194		0,287		0,14		0,665		0,57		1191073		343203		1534276		49924		22,52s
195		0,285		0,14		0,665		0,57		1191082		343194		1534276		49924		18,73s
196		0,282		0,14		0,665		0,57		1191083		343193		1534276		49924		23,41s
197		0,279		0,14		0,665		0,57		1191339		342937		1534276		49922		18,24s
198		0,276		0,14		0,665		0,57		1191770		342506		1534276		49923		23,72s
199		0,273		0,14		0,665		0,57		1191815		342461		1534276		49922		17,70s
200		0,271		0,14		0,665		0,57		1191836		342440		1534276		49923		22,87s
Terminated Vaquero algorithm at iteration: 200, Runtime: 4124,86
[ForkJoinPool.commonPool-worker-1] WARN org.janusgraph.graphdb.olap.computer.FulgoraGraphComputer - Property key [gremlin.VaqueroVertexProgram.label] is not part of the schema and will be created. It is advised to initialize all keys.
Clusters capacity/usage: [0=[20000000, 25422], 1=[20000000, 25424], 2=[20000000, 25422]]
Clusters Lower Bound: [0=0, 1=1, 2=0]
Clusters added together count: 76268
[main] WARN org.janusgraph.graphdb.transaction.StandardJanusGraphTx - Query requires iterating over all vertices [()]. For better performance, use indexes
Vertex count: 76268
Number of all to be expanded nodes: 13366
Before/After Cross Node Queries: 1023563 / 342435, Improvement: 66,54%
Good before/after Queries:  510713 / 1191841

R2 Before/After Cross Node Queries: 1023563 / 306518, Improvement: 70,05% It:200
R3 Before/After Cross Node Queries: 708476 / 165944, Improvement: 76.58% It:200
R4
